"Guid","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title"
17370cab-552c-4bd8-9501-8e64c9ff9843,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A","#N/A",Geoff,"#N/A","#N/A",Minor,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,(415) 555-1212,"#N/A","#N/A",President
1e9d8d18-38a0-4e62-b136-a06cbaaf652c,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Leanne,"#N/A","#N/A",Tomlin,"#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 555-5555,"#N/A","#N/A",VP Customer Support
59de5d02-5be2-4404-ae0a-61a0546225e1,"#N/A","#N/A","#N/A","#N/A",Carole White is looking at moving forward with our products and will act as the champion for us.,info@salesforce.com,"#N/A","#N/A",Carole,"#N/A","#N/A",White,Employee Referral,Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(415) 555-1212,17370cab-552c-4bd8-9501-8e64c9ff9843,"#N/A",VP Sales
79b95061-5bc9-452d-bf6a-d4c21c96494b,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",name,"#N/A","#N/A",surname,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123456,"#N/A",Ms.,"#N/A"
7e4b46b9-9bba-4216-94a4-7d24e662a9fe,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Andreea,"#N/A","#N/A",X,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",353465768,"#N/A",Ms.,"#N/A"
8169d2a6-80e8-4798-8c83-c01be2640b1a,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",name1,"#N/A","#N/A",surname1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",654321,"#N/A","#N/A","#N/A"
95efab12-3862-47a4-9160-e8605f7ab2a1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Luda,"#N/A","#N/A",X,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",123456,"#N/A",Ms.,"#N/A"
a884089e-4ff7-45bb-81bc-c6fcc03142a0,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Howard,"#N/A","#N/A",Jones,"#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(212) 555-5555,"#N/A","#N/A",Buyer
d1098019-5794-4b59-8a8c-88f86cd4d1d2,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(212) 555-5555,Edward,"#N/A","#N/A",Stamos,"#N/A",New York City,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A",New York City,USA,"#N/A","#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,(212) 555-5555,"#N/A","#N/A",President and CEO
d2d197fa-c723-4ef2-b14c-d43575de336e,"#N/A","#N/A","#N/A","#N/A","#N/A",info@salesforce.com,"#N/A",(555) 555-1212,Jon,"#N/A","#N/A",Amos,"#N/A",Toronto,Canada,"#N/A","#N/A","#N/A",L4B 1Y3,Ontario,150 Chestnut Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(905) 555-1212,59de5d02-5be2-4404-ae0a-61a0546225e1,"#N/A",Sales Manager
