Guid,LastName,FirstName,Salutation,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Phone,Email,Website,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,IsConverted,ConvertedDate,IsUnreadByOwner,Jigsaw,JigsawContactId,EmailBouncedReason,EmailBouncedDate,IsPriorityRecord
01d7e322-b2ee-44ac-b1df-3b1f7f02f1b0,Smith,Andy,Mr.,Vice President,Universal Technologies,Universal Building,Hartford,Connecticut,6103,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Advertisement,New,Aerospace & Defense,#N/A,28212.0,155000,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
0fdb7f54-498c-44ab-9996-c9a3336d163c,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
1211831f-9dfb-4855-b6a2-475cb5b45b8b,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
1a003c5a-1f34-4c1f-abaf-8ec4dc59607e,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
21619b36-cf0b-4451-bf1b-96390f0f0f65,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
2976c5bd-2191-4923-9688-b1ef27004751,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
2be6b6aa-1860-4181-8478-83f3c26b2b95,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
36699fa7-611c-4d04-87c4-bb734fdc31f4,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
37cc2c76-8e3c-40f7-a3df-eb3621f88d13,Steele,Jim,#N/A,Senior VP,BigLife Inc.,11 Farm Avenue,Hartford,Connecticut,6156,United States,#N/A,#N/A,#N/A,(555) 555-1212,info@salesforce.com,#N/A,#N/A,Employee Referral,New,Insurance,#N/A,19879.0,28000,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
4631ad13-a3f6-485f-882a-6db81b40cd0e,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
53c8c779-9ea0-4ad7-bb79-8e16de7847b0,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
54d160f2-e355-40c8-b9ef-83edb190052c,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
5b9b53a0-af2b-42f0-84a8-e22340c14837,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
60a55872-ab04-4ef7-bdbc-8af3f74a7718,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
610e0cc2-22b9-4f27-8138-096f1697e221,test1,#N/A,Mr.,#N/A,test,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,New,#N/A,#N/A,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,#N/A,#N/A,false
